covid_hospitalized_infant_weekly_mean,covid_hospitalized_infant_weekly_std,covid_hospitalized_infant_weekly_n,covid_hospitalized_infant_weekly_ci_lower,covid_hospitalized_infant_weekly_ci_upper,covid_hospitalized_infant_weekly_p2_5,covid_hospitalized_infant_weekly_p97_5,covid_hospitalized_preschool_weekly_mean,covid_hospitalized_preschool_weekly_std,covid_hospitalized_preschool_weekly_n,covid_hospitalized_preschool_weekly_ci_lower,covid_hospitalized_preschool_weekly_ci_upper,covid_hospitalized_preschool_weekly_p2_5,covid_hospitalized_preschool_weekly_p97_5,covid_hospitalized_child_weekly_mean,covid_hospitalized_child_weekly_std,covid_hospitalized_child_weekly_n,covid_hospitalized_child_weekly_ci_lower,covid_hospitalized_child_weekly_ci_upper,covid_hospitalized_child_weekly_p2_5,covid_hospitalized_child_weekly_p97_5,covid_hospitalized_adult_weekly_mean,covid_hospitalized_adult_weekly_std,covid_hospitalized_adult_weekly_n,covid_hospitalized_adult_weekly_ci_lower,covid_hospitalized_adult_weekly_ci_upper,covid_hospitalized_adult_weekly_p2_5,covid_hospitalized_adult_weekly_p97_5,covid_hospitalized_senior_weekly_mean,covid_hospitalized_senior_weekly_std,covid_hospitalized_senior_weekly_n,covid_hospitalized_senior_weekly_ci_lower,covid_hospitalized_senior_weekly_ci_upper,covid_hospitalized_senior_weekly_p2_5,covid_hospitalized_senior_weekly_p97_5,flu_hospitalized_infant_weekly_mean,flu_hospitalized_infant_weekly_std,flu_hospitalized_infant_weekly_n,flu_hospitalized_infant_weekly_ci_lower,flu_hospitalized_infant_weekly_ci_upper,flu_hospitalized_infant_weekly_p2_5,flu_hospitalized_infant_weekly_p97_5,flu_hospitalized_preschool_weekly_mean,flu_hospitalized_preschool_weekly_std,flu_hospitalized_preschool_weekly_n,flu_hospitalized_preschool_weekly_ci_lower,flu_hospitalized_preschool_weekly_ci_upper,flu_hospitalized_preschool_weekly_p2_5,flu_hospitalized_preschool_weekly_p97_5,flu_hospitalized_child_weekly_mean,flu_hospitalized_child_weekly_std,flu_hospitalized_child_weekly_n,flu_hospitalized_child_weekly_ci_lower,flu_hospitalized_child_weekly_ci_upper,flu_hospitalized_child_weekly_p2_5,flu_hospitalized_child_weekly_p97_5,flu_hospitalized_adult_weekly_mean,flu_hospitalized_adult_weekly_std,flu_hospitalized_adult_weekly_n,flu_hospitalized_adult_weekly_ci_lower,flu_hospitalized_adult_weekly_ci_upper,flu_hospitalized_adult_weekly_p2_5,flu_hospitalized_adult_weekly_p97_5,flu_hospitalized_senior_weekly_mean,flu_hospitalized_senior_weekly_std,flu_hospitalized_senior_weekly_n,flu_hospitalized_senior_weekly_ci_lower,flu_hospitalized_senior_weekly_ci_upper,flu_hospitalized_senior_weekly_p2_5,flu_hospitalized_senior_weekly_p97_5,rsv_hospitalized_infant_weekly_mean,rsv_hospitalized_infant_weekly_std,rsv_hospitalized_infant_weekly_n,rsv_hospitalized_infant_weekly_ci_lower,rsv_hospitalized_infant_weekly_ci_upper,rsv_hospitalized_infant_weekly_p2_5,rsv_hospitalized_infant_weekly_p97_5,rsv_hospitalized_preschool_weekly_mean,rsv_hospitalized_preschool_weekly_std,rsv_hospitalized_preschool_weekly_n,rsv_hospitalized_preschool_weekly_ci_lower,rsv_hospitalized_preschool_weekly_ci_upper,rsv_hospitalized_preschool_weekly_p2_5,rsv_hospitalized_preschool_weekly_p97_5,rsv_hospitalized_child_weekly_mean,rsv_hospitalized_child_weekly_std,rsv_hospitalized_child_weekly_n,rsv_hospitalized_child_weekly_ci_lower,rsv_hospitalized_child_weekly_ci_upper,rsv_hospitalized_child_weekly_p2_5,rsv_hospitalized_child_weekly_p97_5,rsv_hospitalized_adult_weekly_mean,rsv_hospitalized_adult_weekly_std,rsv_hospitalized_adult_weekly_n,rsv_hospitalized_adult_weekly_ci_lower,rsv_hospitalized_adult_weekly_ci_upper,rsv_hospitalized_adult_weekly_p2_5,rsv_hospitalized_adult_weekly_p97_5,rsv_hospitalized_senior_weekly_mean,rsv_hospitalized_senior_weekly_std,rsv_hospitalized_senior_weekly_n,rsv_hospitalized_senior_weekly_ci_lower,rsv_hospitalized_senior_weekly_ci_upper,rsv_hospitalized_senior_weekly_p2_5,rsv_hospitalized_senior_weekly_p97_5
0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.04,0.2814105882725791,100,-0.01583796595844819,0.09583796595844819,0.0,0.0,0.1,0.4605661864718387,100,0.008613676551086871,0.19138632344891315,0.0,2.0,0.1,0.6435381994422813,100,-0.027691940427675005,0.22769194042767502,0.0,1.0,0.11,0.6650738547884966,100,-0.021965081667655886,0.2419650816676559,0.0,1.049999999999983,0.01,0.1,100,-0.009842169515086827,0.02984216951508683,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.08,0.4187523556393864,100,-0.003089552254386299,0.16308955225438632,0.0,1.5249999999999915,0.03,0.22270150335361352,100,-0.014188809808070774,0.07418880980807077,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.02,0.19999999999999993,100,-0.01968433903017364,0.059684339030173644,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0
0.14,0.6819461159435583,100,0.004687095672928632,0.2753129043270714,0.0,2.5249999999999915,0.02,0.14070529413628957,100,-0.007918982979224103,0.0479189829792241,0.0,0.0,0.11,0.6012613005301027,100,-0.00930328647979864,0.22930328647979864,0.0,1.5249999999999915,0.47,1.553458182003083,100,0.1617601941809622,0.7782398058190377,0.0,7.0,1.35,2.742759062099197,100,0.8057770975078719,1.8942229024921282,0.0,9.524999999999991,0.36,1.0685589276301897,100,0.14797472621102378,0.5720252737889762,0.0,4.0,0.15,0.6571287406727715,100,0.019611401343353374,0.2803885986566466,0.0,2.0,0.04,0.4,100,-0.03936867806034731,0.11936867806034732,0.0,0.0,0.08,0.4644971213662957,100,-0.01216630621419898,0.17216630621419898,0.0,1.0,0.21,0.9352253550061956,100,0.024430999711598095,0.3955690002884019,0.0,4.0,0.47,1.438679248407365,100,0.18453482475263355,0.7554651752473664,0.0,5.5249999999999915,0.05,0.4113294533484311,100,-0.03161668739887569,0.1316166873988757,0.0,0.0,0.04,0.3999999999999998,100,-0.039368678060347266,0.11936867806034726,0.0,0.0,0.06,0.5999999999999995,100,-0.05905301709052088,0.17905301709052088,0.0,0.0,0.07,0.455161199106115,100,-0.020313856693537205,0.1603138566935372,0.0,0.5249999999999915
0.59,1.7355172721757044,100,0.24563572089128582,0.9343642791087141,0.0,7.0,0.27,1.1794109127060444,100,0.03597928742143397,0.5040207125785661,0.0,4.049999999999983,0.53,1.6419685155509538,100,0.20419782376002493,0.8558021762399751,0.0,6.5249999999999915,1.11,2.2378516032078175,100,0.6659616913954167,1.5540383086045835,0.0,7.0,2.86,3.7686103861269933,100,2.1122259388215134,3.6077740611784863,0.0,10.0,0.39,1.3699148392022984,100,0.11817917539315087,0.6618208246068491,0.0,3.0,0.24,0.8179797730328723,100,0.07769506683569499,0.402304933164305,0.0,3.5249999999999915,0.18,0.9886221408474201,100,-0.016164081050625556,0.37616408105062554,0.0,2.049999999999983,0.14,0.6516490348695866,100,0.010698693857749353,0.2693013061422507,0.0,2.0,0.28,1.0355304111049728,100,0.07452830044827582,0.4854716995517242,0.0,3.5249999999999915,0.62,1.6129526222478334,100,0.2999552064955468,0.9400447935044531,0.0,5.049999999999983,0.26,1.1687859539114105,100,0.028087509756373336,0.4919124902436267,0.0,3.0,0.03,0.22270150335361372,100,-0.014188809808070815,0.07418880980807081,0.0,0.0,0.06,0.3711842908553353,100,-0.013651016204888552,0.13365101620488856,0.0,0.5249999999999915,0.19,1.0119987224010776,100,-0.0108025019893348,0.3908025019893348,0.0,1.5249999999999915
1.15,2.4633679826980406,100,0.66121434909268,1.63878565090732,0.0,7.0,0.53,1.678473332309073,100,0.1969544761377071,0.8630455238622929,0.0,7.0,1.04,2.339472443336598,100,0.5757979120344087,1.5042020879655915,0.0,6.5249999999999915,1.43,2.697754397249457,100,0.8947069993970538,1.965293000602946,0.0,7.5249999999999915,3.57,4.095464354969809,100,2.757371020256933,4.382628979743067,0.0,15.524999999999991,0.46,1.1229470606444911,100,0.23718294066223522,0.6828170593377648,0.0,3.5249999999999915,0.32,1.0624918300339494,100,0.10917857000071554,0.5308214299992845,0.0,4.5249999999999915,0.17,0.6971080231639828,100,0.0316786443405318,0.3083213556594682,0.0,2.5249999999999915,0.16,0.6149648918286453,100,0.037977623705089864,0.2820223762949101,0.0,2.0,0.37,1.0792346708420153,100,0.15585642714593798,0.584143572854062,0.0,4.0,0.61,1.2382375875543121,100,0.3643067988779517,0.8556932011220483,0.0,4.0,0.36,1.2351747105800723,100,0.11491454011921895,0.605085459880781,0.0,4.5249999999999915,0.1,0.5025189076296067,100,0.0002893465027708486,0.19971065349722916,0.0,2.0,0.1,0.5595813731096796,100,-0.011033084627273107,0.2110330846272731,0.0,1.0,0.4,1.2060453783110539,100,0.16069443160665048,0.6393055683933495,0.0,5.0
1.16,2.2052279480884276,100,0.7224349323462231,1.5975650676537767,0.0,7.0,0.56,1.6287815362808156,100,0.23681440654072516,0.8831855934592749,0.0,5.5249999999999915,1.6,3.0218062696528256,100,1.0004080775579647,2.1995919224420355,0.0,9.049999999999983,2.4,2.943920288775948,100,1.8158623459120427,2.984137654087957,0.0,8.524999999999991,4.99,5.0161255119379895,100,3.9946918728317473,5.985308127168253,0.0,15.524999999999991,0.39,0.9628975631767474,100,0.19894023325782953,0.5810597667421705,0.0,3.5249999999999915,0.12,0.5179602574356724,100,0.017225447698833746,0.22277455230116625,0.0,2.0,0.05,0.35887028128263626,100,-0.021207649551369598,0.1212076495513696,0.0,0.0,0.19,0.7343656645656366,100,0.04428591997629247,0.3357140800237075,0.0,3.0,0.16,0.6311765508824279,100,0.03476087883443041,0.2852391211655696,0.0,2.5249999999999915,1.65,2.772064832276371,100,1.0999621969116151,2.2000378030883847,0.0,9.524999999999991,0.47,1.3291981329988682,100,0.20625825325899527,0.7337417467410047,0.0,5.0,0.26,1.0407844749189537,100,0.05348578019987488,0.46651421980012514,0.0,4.049999999999983,0.43,1.2573420739437182,100,0.18051605430357906,0.6794839456964209,0.0,5.0,0.88,1.976017830042652,100,0.4879151925145967,1.2720848074854034,0.0,7.0
1.2,2.3268307661154504,100,0.7383062950581788,1.661693704941821,0.0,7.0,0.42,1.3572104486851706,100,0.15070000209541795,0.689299997904582,0.0,5.0,1.71,2.9925665482081656,100,1.1162098726527532,2.3037901273472468,0.0,9.524999999999991,4.08,4.430564184152961,100,3.2008799441056457,4.9591200558943545,0.0,14.524999999999991,7.57,6.6092298486222445,100,6.258585409794658,8.881414590205342,0.0,24.52499999999999,0.32,0.9415225151129677,100,0.13318150652857597,0.506818493471424,0.0,4.0,0.13,0.7869516689688949,100,-0.02614828415861306,0.28614828415861304,0.0,1.0,0.02,0.19999999999999993,100,-0.01968433903017364,0.059684339030173644,0.0,0.0,0.21,0.7288430017583495,100,0.06538173609226103,0.354618263907739,0.0,2.5249999999999915,0.35,1.1135075167680688,100,0.12905595095964587,0.5709440490403541,0.0,4.5249999999999915,1.92,3.1323660660461097,100,1.2984706153420742,2.5415293846579257,0.0,10.574999999999974,0.56,1.5263344881437264,100,0.25714212349528903,0.862857876504711,0.0,5.5249999999999915,0.08,0.44221663871405287,100,-0.007745375077561456,0.16774537507756146,0.0,1.0,0.38,1.2125605264493113,100,0.1394016848688984,0.6205983151311016,0.0,5.0,1.07,2.0658600576461565,100,0.6600885454173793,1.4799114545826209,0.0,6.0
1.7,2.907670107585358,100,1.1230551683134058,2.276944831686594,0.0,9.524999999999991,0.54,1.4799672396046564,100,0.24634239154989285,0.8336576084501073,0.0,5.5249999999999915,1.93,2.975506068492615,100,1.3395950419579998,2.520404958042,0.0,8.049999999999983,5.68,5.049012304651797,100,4.678166419673397,6.681833580326602,0.0,17.0,9.84,7.0620911430773345,100,8.438727904080663,11.241272095919337,0.0,24.52499999999999,0.2,0.8287754140107476,100,0.03555297745262481,0.3644470225473752,0.0,3.0,0.06,0.31204765240862997,100,-0.0019170241587692857,0.12191702415876929,0.0,1.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.12,0.5555959581268282,100,0.009757708169503929,0.23024229183049605,0.0,1.5249999999999915,0.25,0.9252354327740622,100,0.06641321701532335,0.4335867829846767,0.0,3.5249999999999915,1.77,2.4156685504130198,100,1.290678951304408,2.249321048695592,0.0,7.0,0.64,1.5860503004493782,100,0.3252932107902905,0.9547067892097095,0.0,6.0,0.04,0.3152680437246049,100,-0.02255601966273415,0.10255601966273414,0.0,0.0,0.22,0.9595874534444901,100,0.02959703084203938,0.4104029691579606,0.0,3.0,1.19,1.8839835294911507,100,0.81617679444205,1.56382320555795,0.0,5.0
1.87,2.9082085151647497,100,1.2929483365688208,2.4470516634311794,0.0,10.0,1.41,2.632719529538253,100,0.8876113280922233,1.9323886719077765,0.0,7.0,1.63,2.805676065018586,100,1.0732929991347944,2.1867070008652054,0.0,9.524999999999991,5.46,5.465077374298621,100,4.375610083261011,6.5443899167389885,0.0,20.574999999999974,12.46,7.961295260334352,100,10.880306298847886,14.039693701152116,0.0,29.0,0.07,0.3828389433765279,100,-0.0059635521145379455,0.14596355211453796,0.0,1.0,0.1,0.5773502691896255,100,-0.01455881910841561,0.21455881910841562,0.0,1.5749999999999744,0.0,0.0,100,0.0,0.0,0.0,0.0,0.13,0.6301354672375671,100,0.004967452416037521,0.2550325475839625,0.0,2.0,0.03,0.17144660799776545,100,-0.004018726586783032,0.06401872658678304,0.0,0.5249999999999915,1.75,2.367178775153105,100,1.280300374708965,2.2196996252910353,0.0,7.5249999999999915,0.67,1.6021135030851217,100,0.35210592289375436,0.9878940771062457,0.0,5.5249999999999915,0.17,0.8294454761946657,100,0.0054200225782352895,0.3345799774217647,0.0,3.049999999999983,0.12,0.49807711057707516,100,0.021170695403450276,0.2188293045965497,0.0,1.0,1.06,2.0341528403189817,100,0.6563799452279542,1.463620054772046,0.0,6.5249999999999915
2.03,3.125182822934953,100,1.4098959266168705,2.650104073383129,0.0,10.0,1.11,2.2423607689624383,100,0.6650669750826685,1.5549330249173317,0.0,7.0,1.15,2.442779506458107,100,0.665299549448781,1.6347004505512188,0.0,7.5249999999999915,4.95,4.656645083570729,100,4.02602058880194,5.873979411198061,0.0,15.574999999999974,12.33,7.729067527747758,100,10.79638531920876,13.86361468079124,0.0,27.0,0.13,0.6459665063087459,100,0.0018262308075346068,0.2581737691924654,0.0,2.049999999999983,0.05,0.4113294533484316,100,-0.031616687398875784,0.13161668739887578,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.17,0.7255092255537737,100,0.026043229618026603,0.31395677038197345,0.0,3.049999999999983,0.1,0.5222329678670941,100,-0.0036223507478577166,0.20362235074785773,0.0,2.0,1.64,2.426786543825585,100,1.1584729002048104,2.1215270997951894,0.0,8.049999999999983,0.23,0.7086051171994263,100,0.08939737145271015,0.37060262854728987,0.0,2.0,0.12,0.6076947665505521,100,-0.0005798257132717116,0.2405798257132717,0.0,2.5249999999999915,0.15,0.8087276451565164,100,-0.010469110267325887,0.3104691102673259,0.0,2.5749999999999744,0.88,1.9502913535255109,100,0.49301988359538684,1.2669801164046133,0.0,5.5249999999999915
1.42,2.3362752017221364,100,0.9564323141353569,1.883567685864643,0.0,7.0,0.79,1.832892508985442,100,0.42631436133778056,1.1536856386622194,0.0,6.0,1.13,2.329672452808279,100,0.6677424427675,1.5922575572324997,0.0,7.0,4.61,4.8884423579365945,100,3.6400269806909136,5.579973019309087,0.0,15.0,10.82,7.88475065739513,100,9.255494408717736,12.384505591282265,0.0,27.049999999999983,0.09,0.4515964946048566,100,0.00039345801631440747,0.17960654198368559,0.0,1.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.02,0.19999999999999993,100,-0.01968433903017364,0.059684339030173644,0.0,0.0,0.03,0.2999999999999998,100,-0.029526508545260448,0.08952650854526045,0.0,0.0,1.04,1.8308247299835099,100,0.6767246535525413,1.4032753464474588,0.0,6.0,0.17,0.6824643402827548,100,0.03458426872107678,0.30541573127892324,0.0,2.5249999999999915,0.04,0.3152680437246048,100,-0.02255601966273415,0.10255601966273414,0.0,0.0,0.19,0.7204796382208928,100,0.04704120886252616,0.33295879113747384,0.0,2.5249999999999915,0.79,1.8978722801914758,100,0.41342096498456377,1.1665790350154364,0.0,6.0
1.34,2.4046251729161896,100,0.86287019698752,1.81712980301248,0.0,7.0,0.71,1.8273732320719065,100,0.34740950561897127,1.0725904943810287,0.0,6.5249999999999915,1.06,2.1965077884329185,100,0.6241652012070557,1.4958347987929446,0.0,7.0,3.39,4.3365838624382205,100,2.5295276788511085,4.250472321148892,0.0,13.524999999999991,10.24,6.798870969848337,100,8.890956497050666,11.589043502949334,0.0,24.52499999999999,0.05,0.35887028128263604,100,-0.021207649551369556,0.12120764955136956,0.0,0.0,0.03,0.2999999999999996,100,-0.029526508545260406,0.0895265085452604,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.09,0.514339823993295,100,-0.012056179760348826,0.19205617976034883,0.0,1.0,0.03,0.2999999999999995,100,-0.029526508545260385,0.08952650854526038,0.0,0.0,1.42,2.5591191666452144,100,0.9122152368611791,1.9277847631388207,0.0,7.5249999999999915,0.19,0.8491826135238004,100,0.021503746331962892,0.3584962536680371,0.0,2.5249999999999915,0.01,0.09999999999999998,100,-0.009842169515086823,0.029842169515086822,0.0,0.0,0.32,1.10900811083553,100,0.09994873071195212,0.5400512692880479,0.0,4.0,0.53,1.431641002345197,100,0.24593136546717786,0.8140686345328222,0.0,5.5249999999999915
